method,metric,mean,sd,ci95_lo,ci95_hi
M0 Raw Quantile,coverage,0.5176666666666667,0.1961030058129882,0.4444406008593876,0.5908927324739458
M0 Raw Quantile,mean_width,1.1247546981650713,0.4696247391757163,0.9493939385834368,1.3001154577467058
M0 Raw Quantile,median_width,1.1469021240870159,0.49493778933573224,0.9620893162355658,1.331714931938466
M0 Raw Quantile,low_coverage,0.7381666666666666,0.3086137060148656,0.6229284149530557,0.8534049183802775
M0 Raw Quantile,high_coverage,0.28176666666666667,0.11304460008861725,0.23955511926621176,0.3239782140671216
M0 Raw Quantile,low_mean_width,1.1772966342257953,0.5147767011660962,0.9850758549502845,1.3695174135013062
M0 Raw Quantile,high_mean_width,1.0731990431526053,0.4560404204597795,0.9029107515431795,1.243487334762031
M0 Raw Quantile,width_ratio,1.3004852147486423,2.235325694450082,0.4658008827879204,2.1351695467093643
M0 Raw Quantile,coverage_error,0.38233333333333336,0.19610300581298823,0.3091072675260542,0.4555593991406125
M0 Raw Quantile,coverage_imbalance,0.47286666666666666,0.21594152039356643,0.3922327777708346,0.5535005555624988
M0 Raw Quantile,width_ratio_error_vs_oracle,4.239067688390368,0.7521278145675278,3.958218546804395,4.519916829976341
M0 Raw Quantile,winkler,8.016201140229336,1.8313935864910513,7.332347536214152,8.700054744244522
M0 Raw Quantile,ramp_coverage_diag,0.5561666666666666,0.202065554971022,0.4807141484130558,0.6316191849202774
M0 Raw Quantile,ramp_mean_width_diag,1.1222889955444262,0.47330398518222655,0.945554382925318,1.2990236081635342
M1 Standard CQR,coverage,0.9002222222222223,0.009090417814427904,0.8968278044246197,0.9036166400198248
M1 Standard CQR,mean_width,3.4833767070206605,0.307881643706079,3.3684118118656396,3.5983416021756813
M1 Standard CQR,median_width,3.5055241329426043,0.34607221970609103,3.3762986423428525,3.634749623542356
M1 Standard CQR,low_coverage,0.9999666666666668,0.0001825741858350555,0.9998984923452624,1.0000348409880713
M1 Standard CQR,high_coverage,0.7742666666666665,0.023394566615486532,0.7655309919256477,0.7830023414076854
M1 Standard CQR,low_mean_width,3.5359186430813847,0.3993804422147912,3.386787535057218,3.6850497511055513
M1 Standard CQR,high_mean_width,3.4318210520081935,0.24915356549469442,3.3387855816573135,3.5248565223590735
M1 Standard CQR,width_ratio,0.9768570765457546,0.07761688280431066,0.9478744561905907,1.0058396969009185
M1 Standard CQR,coverage_error,0.007305555555555543,0.0052416844075012315,0.005348278430845338,0.009262832680265747
M1 Standard CQR,coverage_imbalance,0.22569999999999998,0.023464059089712448,0.21693837634264668,0.2344616236573533
M1 Standard CQR,width_ratio_error_vs_oracle,4.0231429234542455,0.07761688280431066,3.9941603030990818,4.052125543809409
M1 Standard CQR,winkler,4.65785420348311,0.3398513512025188,4.530951623358557,4.784756783607663
M1 Standard CQR,ramp_coverage_diag,0.9657499999999999,0.01922137369951877,0.9585726211036788,0.972927378896321
M1 Standard CQR,ramp_mean_width_diag,3.480911004400015,0.3129586690548944,3.36405031682327,3.5977716919767597
M2 Scaled Additive CQR,coverage,0.8999583333333333,0.007658252191482878,0.8970986949681924,0.9028179716984742
M2 Scaled Additive CQR,mean_width,3.464228225416011,0.39194226006359806,3.317874580253424,3.610581870578598
M2 Scaled Additive CQR,median_width,3.7331197536248593,0.4692728401161145,3.5578903953115995,3.908349111938119
M2 Scaled Additive CQR,low_coverage,0.9841666666666667,0.0286116486204764,0.9734829014890144,0.9948504318443191
M2 Scaled Additive CQR,high_coverage,0.8253666666666667,0.05038231992395288,0.8065535992229528,0.8441797341103806
M2 Scaled Additive CQR,low_mean_width,3.184404297781,0.32303721381032996,3.0637802197429846,3.3050283758190155
M2 Scaled Additive CQR,high_mean_width,3.8865165579623326,0.5577130311866343,3.678263089567282,4.094770026357383
M2 Scaled Additive CQR,width_ratio,1.2205042540802669,0.11055325657307441,1.179222989637288,1.2617855185232456
M2 Scaled Additive CQR,coverage_error,0.006152777777777767,0.004414583293780587,0.004504345284650309,0.007801210270905224
M2 Scaled Additive CQR,coverage_imbalance,0.16393333333333332,0.06495989921287691,0.1396769083240574,0.18818975834260923
M2 Scaled Additive CQR,width_ratio_error_vs_oracle,3.7794957459197334,0.11055325657307441,3.7382144814767546,3.820777010362712
M2 Scaled Additive CQR,winkler,4.445541960465887,0.3067905778251947,4.330984476006396,4.5600994449253776
M2 Scaled Additive CQR,ramp_coverage_diag,0.8759166666666667,0.06006994247130378,0.8534861815131758,0.8983471518201576
M2 Scaled Additive CQR,ramp_mean_width_diag,3.108067213137737,0.3055183110940729,2.99398480088324,3.222149625392234
M3 Replacement CQR,coverage,0.8989305555555556,0.007056391743070455,0.8962956555753239,0.9015654555357873
M3 Replacement CQR,mean_width,4.18963069870614,0.5489178419355264,3.984661407951402,4.394599989460878
M3 Replacement CQR,median_width,4.726069358134178,0.6188181379707998,4.494998867878661,4.957139848389695
M3 Replacement CQR,low_coverage,0.9395000000000001,0.03243428369211641,0.9273888394280106,0.9516111605719896
M3 Replacement CQR,high_coverage,0.9019999999999999,0.03731783339979925,0.8880652919979984,0.9159347080020014
M3 Replacement CQR,low_mean_width,3.5940434419742258,0.4612180913910479,3.4218217762649505,3.766265107683501
M3 Replacement CQR,high_mean_width,5.038356201572199,0.6688648946990494,4.7885979452295135,5.288114457914885
M3 Replacement CQR,width_ratio,1.4014096162251908,0.02598187970559568,1.3917078228986106,1.411111409551771
M3 Replacement CQR,coverage_error,0.005374999999999996,0.0045922718482216745,0.003660217510212561,0.007089782489787431
M3 Replacement CQR,coverage_imbalance,0.06349999999999997,0.044132832410255805,0.04702052954549369,0.07997947045450626
M3 Replacement CQR,width_ratio_error_vs_oracle,3.5985903837748086,0.025981879705595737,3.5888885904482284,3.6082921771013887
M3 Replacement CQR,winkler,4.96011761667804,0.47275849826029487,4.783586692223102,5.136648541132978
M3 Replacement CQR,ramp_coverage_diag,0.7898333333333334,0.029213345242027407,0.7789248909447273,0.8007417757219395
M3 Replacement CQR,ramp_mean_width_diag,3.556785083370781,0.4766530774828662,3.378799899134045,3.734770267607517
Oracle Additive CQR,coverage,0.901277777777778,0.010283303371231277,0.897437929192815,0.905117626362741
Oracle Additive CQR,mean_width,2.8435191012169105,0.3603704499931166,2.7089545636832026,2.9780836387506184
Oracle Additive CQR,median_width,2.8319202793228615,0.353565793208534,2.6998966423910495,2.9639439162546735
Oracle Additive CQR,low_coverage,0.959,0.059084976794093955,0.9369373070748753,0.9810626929251246
Oracle Additive CQR,high_coverage,0.8255666666666666,0.06958729736110598,0.7995823427916189,0.8515509905417142
Oracle Additive CQR,low_mean_width,1.750218101909742,0.3606227796846004,1.615559342920748,1.884876860898736
Oracle Additive CQR,high_mean_width,3.9378063815723365,0.765721482531144,3.651881280947697,4.223731482196976
Oracle Additive CQR,width_ratio,2.370260417939697,0.8318485757246405,2.0596430549106315,2.6808777809687627
Oracle Additive CQR,coverage_error,0.008222222222222216,0.0061236591828738324,0.005935610303922035,0.010508834140522397
Oracle Additive CQR,coverage_imbalance,0.1655666666666666,0.07808248659362532,0.13641018699927485,0.19472314633405838
Oracle Additive CQR,width_ratio_error_vs_oracle,2.6551038335973325,0.7438438518765468,2.377347974516847,2.932859692677818
Oracle Additive CQR,winkler,3.791795680272054,0.29066294859657954,3.683260351537887,3.9003310090062207
Oracle Additive CQR,ramp_coverage_diag,0.9462500000000003,0.022232606529677266,0.9379482082856906,0.9545517917143099
Oracle Additive CQR,ramp_mean_width_diag,2.8410533985962645,0.3528393991305847,2.7093010016708634,2.9728057955216656
Oracle Replacement CQR,coverage,0.8970277777777778,0.013328273704756914,0.89205091858403,0.9020046369715256
Oracle Replacement CQR,mean_width,3.33261409317196,0.7021419956564363,3.0704299631182677,3.594798223225652
Oracle Replacement CQR,median_width,3.3326140931719594,0.7021419956564362,3.070429963118267,3.5947982232256517
Oracle Replacement CQR,low_coverage,0.8321666666666666,0.04641869668892967,0.8148336404627073,0.8494996928706259
Oracle Replacement CQR,high_coverage,0.9394333333333333,0.04980007155051869,0.9208376810053772,0.9580289856612895
Oracle Replacement CQR,low_mean_width,1.1108713643906534,0.23404733188547883,1.0234766543727558,1.198266074408551
Oracle Replacement CQR,high_mean_width,5.554356821953267,1.1702366594273934,5.11738327186378,5.9913303720427535
Oracle Replacement CQR,width_ratio,5.0,1.999677155559149e-15,4.999999999999999,5.000000000000001
Oracle Replacement CQR,coverage_error,0.010250000000000014,0.008837209082499745,0.006950131896780192,0.013549868103219837
Oracle Replacement CQR,coverage_imbalance,0.11986666666666666,0.0741539560333924,0.09217712441890762,0.14755620891442572
